Events/frame: [16384, 16384, 16384, 16384] | Total: 65536 | Rate: 9 kEv/s (Δ 7203 ms)
Locked hwsem at init
USB ready
Waiting for HE core to lock sem 0 
HWSEOM 0 now locked by HE core
Events/frame: [15972, 15972, 15961, 15921] | Total: 63826 | Rate: 1519 kEv/s (Δ 42 ms)
Events/frame: [15750, 15787, 15859, 15940] | Total: 63336 | Rate: 1407 kEv/s (Δ 45 ms)
Events/frame: [15999, 15972, 15972, 15973] | Total: 63916 | Rate: 1826 kEv/s (Δ 35 ms)
Events/frame: [15972, 15972, 15973, 15971] | Total: 63888 | Rate: 1638 kEv/s (Δ 39 ms)
Events/frame: [15869, 15999, 15972, 15972] | Total: 63812 | Rate: 1823 kEv/s (Δ 35 ms)
Events/frame: [15973, 15972, 15973, 15972] | Total: 63890 | Rate: 1936 kEv/s (Δ 33 ms)
Events/frame: [15972, 15972, 15973, 15972] | Total: 63889 | Rate: 1638 kEv/s (Δ 39 ms)
Events/frame: [15726, 15662, 15414, 15758] | Total: 62560 | Rate: 1078 kEv/s (Δ 58 ms)
Events/frame: [15987, 15975, 15917, 15746] | Total: 63625 | Rate: 1479 kEv/s (Δ 43 ms)
Events/frame: [15987, 15982, 15973, 15972] | Total: 63914 | Rate: 1879 kEv/s (Δ 34 ms)
Events/frame: [15975, 15973, 15972, 15973] | Total: 63893 | Rate: 1825 kEv/s (Δ 35 ms)
Events/frame: [15993, 15972, 15945, 15855] | Total: 63765 | Rate: 1482 kEv/s (Δ 43 ms)
Events/frame: [15836, 15874, 15886, 15897] | Total: 63493 | Rate: 1380 kEv/s (Δ 46 ms)
Events/frame: [15787, 15849, 15902, 15933] | Total: 63471 | Rate: 1586 kEv/s (Δ 40 ms)
Events/frame: [15972, 15972, 15960, 15986] | Total: 63890 | Rate: 1936 kEv/s (Δ 33 ms)
Events/frame: [15972, 15972, 15973, 15972] | Total: 63889 | Rate: 1879 kEv/s (Δ 34 ms)
Events/frame: [15972, 15972, 15972, 15973] | Total: 63889 | Rate: 1879 kEv/s (Δ 34 ms)
Events/frame: [15972, 15972, 15973, 15965] | Total: 63882 | Rate: 1726 kEv/s (Δ 37 ms)
Events/frame: [15955, 15991, 15981, 15972] | Total: 63899 | Rate: 1727 kEv/s (Δ 37 ms)
Events/frame: [15994, 15973, 15972, 15972] | Total: 63911 | Rate: 1879 kEv/s (Δ 34 ms)
Events/frame: [15973, 15972, 15972, 15972] | Total: 63889 | Rate: 1726 kEv/s (Δ 37 ms)
Events/frame: [15688, 15449, 15848, 15996] | Total: 62981 | Rate: 1259 kEv/s (Δ 50 ms)
Events/frame: [15972, 15973, 15972, 15972] | Total: 63889 | Rate: 1936 kEv/s (Δ 33 ms)
Events/frame: [15972, 15972, 15973, 15972] | Total: 63889 | Rate: 1879 kEv/s (Δ 34 ms)
Events/frame: [15985, 15972, 15972, 15973] | Total: 63902 | Rate: 1879 kEv/s (Δ 34 ms)
Events/frame: [15973, 15972, 15973, 15972] | Total: 63890 | Rate: 1879 kEv/s (Δ 34 ms)
Events/frame: [15973, 15972, 15972, 15972] | Total: 63889 | Rate: 1879 kEv/s (Δ 34 ms)
Events/frame: [15972, 15973, 15973, 15972] | Total: 63890 | Rate: 1879 kEv/s (Δ 34 ms)
Events/frame: [15972, 15973, 15972, 15972] | Total: 63889 | Rate: 1879 kEv/s (Δ 34 ms)
